"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IER3",2.60165102455836,7.13999487850508,5.91434614980414,1.59022695982507e-05,0.35425485984023,-2.86986448816898
"TNFAIP3",1.53585360685804,7.28494570726064,5.07097884340496,9.00407599268003e-05,0.968281104619407,-3.09049096073015
"ATF3",2.49259586710187,9.61984456579475,4.76225122980587,0.000173292897075241,0.968281104619407,-3.18343455661206
"CCL4",1.53294747213265,6.55922520683391,4.70555385780278,0.000195627457079249,0.968281104619407,-3.20125051624433
"PTGS2",1.03645890464839,7.33306942294746,4.65646268360076,0.000217327536162725,0.968281104619407,-3.21686556443525
"MAFF",1.44459225920337,8.57381170795213,4.41262598772173,0.000367515623475311,0.995594875302776,-3.29703862760344
"AREG",1.17986281274676,8.63386674937649,4.35449524380671,0.000416814755886584,0.995594875302776,-3.31679467782628
"RND1",1.07014724568367,9.15756668724728,4.32149001706676,0.000447737097115207,0.995594875302776,-3.32812158018726
"SOD2-OT1",2.79892860328599,9.09302523631539,4.30788663796803,0.000461148978378999,0.995594875302776,-3.33281318253905
"IL1B",1.84387033492619,6.2550617615385,4.25233426551997,0.000520277293272237,0.995594875302776,-3.35211218743673
